DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,DESCRIPCION CONDUCTA,CANTIDAD
NORTE DE SANTANDER,TOLEDO,54820000,ARMA BLANCA / CORTOPUNZANTE,07/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
PUTUMAYO,PUERTO GUZMÁN,86571000,ARMA BLANCA / CORTOPUNZANTE,07/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,TADÓ,27787000,ARMA BLANCA / CORTOPUNZANTE,08/04/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
MAGDALENA,CHIBOLO,47170000,ARMA BLANCA / CORTOPUNZANTE,13/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
MAGDALENA,CHIBOLO,47170000,ARMA BLANCA / CORTOPUNZANTE,13/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
MAGDALENA,CHIBOLO,47170000,ARMA BLANCA / CORTOPUNZANTE,13/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
MAGDALENA,CHIBOLO,47170000,ARMA BLANCA / CORTOPUNZANTE,13/04/2010,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,SAN PEDRO,76670000,NO REPORTADO,14/04/2010,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
RISARALDA,PEREIRA (CT),66001000,NO REPORTADO,15/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,AGUAZUL,85010000,ARMA BLANCA / CORTOPUNZANTE,16/04/2010,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,17/04/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CAUCA,LA VEGA,19397000,ARMA BLANCA / CORTOPUNZANTE,17/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,ARAUQUITA,81065000,ARMA BLANCA / CORTOPUNZANTE,18/04/2010,FEMENINO,ADOLECENTES,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,ARAUQUITA,81065000,ARMA BLANCA / CORTOPUNZANTE,18/04/2010,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
PUTUMAYO,VILLAGARZÓN,86885000,ARMA BLANCA / CORTOPUNZANTE,18/04/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
